series_key,campo,timepoint_h,cell_line,braco,seed,referencia,ai,diferenca
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,HUVEC,YOLO M,44,0.593100,0.581890,-0.011210
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,HUVEC,YOLO M,44,0.725500,0.734215,0.008715
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,HUVEC,YOLO M,44,0.584400,0.589786,0.005386
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,HUVEC,YOLO M,44,0.876200,0.870077,-0.006123
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,HUVEC,YOLO M,44,0.604000,0.567584,-0.036416
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,HUVEC,YOLO M,44,0.614700,0.602342,-0.012358
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,HUVEC,YOLO M,44,0.698100,0.695286,-0.002814
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,HUVEC,YOLO M,44,0.594200,0.580281,-0.013919
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,HUVEC,YOLO M,44,0.117400,0.158507,0.041107
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,HUVEC,YOLO M,44,0.379300,0.381413,0.002113
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,HUVEC,YOLO M,44,0.082000,0.124638,0.042638
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,HUVEC,YOLO M,44,0.140500,0.150443,0.009943
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,HUVEC,YOLO M,44,0.453700,0.457091,0.003391
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,HUVEC,YOLO M,44,0.108900,0.104636,-0.004264
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,HUVEC,YOLO M,44,0.295900,0.300173,0.004273
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,HUVEC,YOLO M,44,0.231400,0.214326,-0.017074
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,HUVEC,YOLO M,44,0.215700,0.223348,0.007648
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,HUVEC,YOLO M,44,0.579400,0.548922,-0.030478
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,HUVEC,YOLO M,44,0.230100,0.528701,0.298601
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,HUVEC,YOLO M,44,0.103000,0.112162,0.009162
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,HUVEC,YOLO M,44,0.437100,0.436234,-0.000866
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,HUVEC,YOLO M,44,-0.026600,-0.001239,0.025361
Originais (1)||None||A1||c1,1,12,HUVEC,YOLO M,44,0.720300,0.691634,-0.028666
Originais (1)||None||A1||c1,1,24,HUVEC,YOLO M,44,1.000000,1.000000,0.000000
Originais (1)||None||A1||c1,1,8,HUVEC,YOLO M,44,0.507400,0.563926,0.056526
