filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,707678.000,14.038,1446.000,289.833,193,ok,pixels,1.000000
acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,1925267.000,38.190,1181.967,475.337,151,ok,pixels,1.000000
aceb303f81__SKOV-3__P1_GEO_F11__tp24h__Snap-42_2.tiff,1048039.000,20.789,641.083,202.278,260,ok,pixels,1.000000
aceb4fb866__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_1.tiff,1024822.000,20.328,510.780,41.882,109,ok,pixels,1.000000
ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,3491117.000,69.250,2344.899,186.964,140,ok,pixels,1.000000
b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,2685861.000,53.277,1830.890,749.252,197,ok,pixels,1.000000
b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,3228201.000,64.035,1738.063,431.104,124,ok,pixels,1.000000
b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.tiff,1743504.000,34.584,1136.371,454.947,269,ok,pixels,1.000000
b4778b9433__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_2_3.tiff,823229.000,16.330,406.118,26.983,339,ok,pixels,1.000000
b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,629861.000,12.494,340.370,148.758,323,ok,pixels,1.000000
b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.tiff,1123076.000,22.277,639.726,231.022,221,ok,pixels,1.000000
b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.tiff,1409049.000,27.950,1369.619,605.832,258,ok,pixels,1.000000
b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,2130182.000,42.255,1732.013,79.760,239,ok,pixels,1.000000
b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.tiff,1138412.000,22.582,820.530,639.582,190,ok,pixels,1.000000
b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.tiff,760726.000,15.090,447.345,135.011,319,ok,pixels,1.000000
b910aebd2d__HUVEC__Originais_1_None_D1__tp8h__D1_8HR_2_2.tiff,590873.000,11.721,324.436,126.539,201,ok,pixels,1.000000
b98f1d3be8__HUVEC__originais_None_D1__tp8h__D1_8HR_1.tiff,527759.000,10.469,284.295,66.377,244,ok,pixels,1.000000
ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.tiff,1049429.000,20.817,630.621,180.690,268,ok,pixels,1.000000
ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,1263947.000,25.072,923.124,586.789,293,ok,pixels,1.000000
bcc023dcdc__HUVEC__originais_None_D4__tp12h__D4_12HR_2.tiff,375577.000,7.450,305.106,179.608,256,ok,pixels,1.000000
bdb26c487f__BASELINE_ALT__SKOV-3__P2_CARBO_F5__tp0h__Snap-21.tiff,2816521.000,55.869,1673.316,690.165,110,ok,pixels,1.000000
bdd482f7dc__HUVEC__originais_None_B5__tp0h__B5_0HR_1.tiff,3805716.000,75.491,2209.695,296.260,72,ok,pixels,1.000000
be0b2a74bf__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_2.tiff,1286658.000,25.522,815.109,378.350,138,ok,pixels,1.000000
bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.tiff,1903656.000,37.761,2100.001,757.086,181,ok,pixels,1.000000
bec6037b38__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_1_2.tiff,2677525.000,53.112,1680.692,644.380,148,ok,pixels,1.000000
c01f3f16cb__HUVEC__originais_None_D1__tp12h__D1_12HR_1.tiff,418959.000,8.311,244.616,89.646,199,ok,pixels,1.000000
c07bc84c98__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_2_3.tiff,4387816.000,87.037,2387.855,130.055,30,ok,pixels,1.000000
