series_key,cell_line,analysis_unit,campo,timepoint_h,area_pct,closure_fraction,procedencia_area,analisavel
P1|CT|F8,SKOV-3,P1|CT|F8,F8,0,36.461,0.0,corrigida,sim
P1|CT|F8,SKOV-3,P1|CT|F8,F8,24,0.0,1.0,corrigida,sim
P1|CT|F8,SKOV-3,P1|CT|F8,F8,48,0.0,1.0,corrigida,sim
P1|PTX|F2,SKOV-3,P1|PTX|F2,F2,0,27.336,0.0,automatica,sim
P1|PTX|F2,SKOV-3,P1|PTX|F2,F2,24,15.352,0.4384,automatica,sim
P1|PTX|F2,SKOV-3,P1|PTX|F2,F2,48,6.301,0.7695,automatica,sim
P1|PTX|F9,SKOV-3,P1|PTX|F9,F9,0,40.021,0.0,automatica,sim
P1|PTX|F9,SKOV-3,P1|PTX|F9,F9,24,34.063,0.1489,automatica,sim
P1|PTX|F9,SKOV-3,P1|PTX|F9,F9,48,20.838,0.4793,automatica,sim
P2|CARBO+GEO|F14,SKOV-3,P2|CARBO+GEO|F14,F14,0,38.565,0.0,automatica,sim
P2|CARBO+GEO|F14,SKOV-3,P2|CARBO+GEO|F14,F14,48,19.396,0.4971,automatica,sim
P2|CARBO+GEO|F8,SKOV-3,P2|CARBO+GEO|F8,F8,0,36.94,0.0,corrigida,sim
P2|CARBO+GEO|F8,SKOV-3,P2|CARBO+GEO|F8,F8,24,18.308,0.5044,corrigida,sim
P2|CARBO+GEO|F8,SKOV-3,P2|CARBO+GEO|F8,F8,48,14.936,0.5957,corrigida,sim
P2|CARBO|F5,SKOV-3,P2|CARBO|F5,F5,0,42.79,0.0,corrigida,sim
P2|CARBO|F5,SKOV-3,P2|CARBO|F5,F5,24,9.519,0.7775,corrigida,sim
P2|CARBO|F5,SKOV-3,P2|CARBO|F5,F5,48,3.999,0.9065,corrigida,sim
P2|CARBO|F9,SKOV-3,P2|CARBO|F9,F9,0,39.545,0.0,corrigida,sim
P2|CARBO|F9,SKOV-3,P2|CARBO|F9,F9,24,18.34,0.5362,corrigida,sim
P2|CARBO|F9,SKOV-3,P2|CARBO|F9,F9,48,0.0,1.0,corrigida,sim
P2|CT|F15,SKOV-3,P2|CT|F15,F15,0,38.699,0.0,corrigida,sim
P2|CT|F15,SKOV-3,P2|CT|F15,F15,24,11.104,0.7131,corrigida,sim
P2|CT|F15,SKOV-3,P2|CT|F15,F15,48,0.0,1.0,corrigida,sim
P2|CT|F9,SKOV-3,P2|CT|F9,F9,0,38.982,0.0,corrigida,sim
P2|CT|F9,SKOV-3,P2|CT|F9,F9,24,5.929,0.8479,corrigida,sim
P2|CT|F9,SKOV-3,P2|CT|F9,F9,48,0.0,1.0,corrigida,sim
P2|GEO|F11,SKOV-3,P2|GEO|F11,F11,0,30.512,0.0,automatica,sim
P2|GEO|F11,SKOV-3,P2|GEO|F11,F11,24,16.135,0.4712,automatica,sim
Pré-Eclâmpsia||None||B6||c1,HUVEC,Pré-Eclâmpsia||None||B6,1,0,21.968,0.0,corrigida,sim
Pré-Eclâmpsia||None||B6||c1,HUVEC,Pré-Eclâmpsia||None||B6,1,12,6.293,0.7135,corrigida,sim
Pré-Eclâmpsia||None||B6||c1,HUVEC,Pré-Eclâmpsia||None||B6,1,24,0.0,1.0,corrigida,sim
Saudável||None||B1||c1,HUVEC,Saudável||None||B1,1,0,21.195,0.0,corrigida,sim
Saudável||None||B1||c1,HUVEC,Saudável||None||B1,1,12,15.951,0.2474,corrigida,sim
Saudável||None||B1||c1,HUVEC,Saudável||None||B1,1,24,2.602,0.8772,corrigida,sim
Saudável||None||B1||c2,HUVEC,Saudável||None||B1,2,0,18.31,0.0,automatica,sim
Saudável||None||B1||c2,HUVEC,Saudável||None||B1,2,24,6.89,0.6237,automatica,sim
originais||None||A1||c1,HUVEC,originais||None||A1,1,0,11.856,0.0,corrigida,sim
originais||None||A1||c1,HUVEC,originais||None||A1,1,8,6.892,0.4187,corrigida,sim
originais||None||A1||c2,HUVEC,originais||None||A1,2,0,17.165,0.0,corrigida,sim
originais||None||A1||c2,HUVEC,originais||None||A1,2,8,12.607,0.2655,corrigida,sim
originais||None||A5||c1,HUVEC,originais||None||A5,1,0,14.884,0.0,corrigida,sim
originais||None||A5||c1,HUVEC,originais||None||A5,1,8,10.583,0.289,corrigida,sim
originais||None||A5||c1,HUVEC,originais||None||A5,1,12,9.021,0.3939,corrigida,sim
originais||None||A5||c2,HUVEC,originais||None||A5,2,0,18.422,0.0,mista,sim
originais||None||A5||c2,HUVEC,originais||None||A5,2,12,11.542,0.3735,mista,sim
originais||None||A5||c2,HUVEC,originais||None||A5,2,24,9.272,0.4967,mista,sim
originais||None||B5||c1,HUVEC,originais||None||B5,1,0,75.491,0.0,automatica,sim
originais||None||B5||c1,HUVEC,originais||None||B5,1,24,40.204,0.4674,automatica,sim
originais||None||B5||c2,HUVEC,originais||None||B5,2,0,23.045,0.0,mista,sim
originais||None||B5||c2,HUVEC,originais||None||B5,2,8,21.037,0.0871,mista,sim
originais||None||B5||c2,HUVEC,originais||None||B5,2,12,15.404,0.3316,mista,sim
originais||None||D1||c1,HUVEC,originais||None||D1,1,0,18.521,0.0,corrigida,sim
originais||None||D1||c1,HUVEC,originais||None||D1,1,8,10.416,0.4376,corrigida,sim
originais||None||D1||c1,HUVEC,originais||None||D1,1,12,8.311,0.5513,corrigida,sim
originais||None||D1||c1,HUVEC,originais||None||D1,1,24,2.157,0.8835,corrigida,sim
originais||None||D1||c2,HUVEC,originais||None||D1,2,0,21.048,0.0,automatica,sim
originais||None||D1||c2,HUVEC,originais||None||D1,2,8,11.646,0.4467,automatica,sim
originais||None||D1||c2,HUVEC,originais||None||D1,2,12,9.047,0.5702,automatica,sim
originais||None||D1||c2,HUVEC,originais||None||D1,2,24,4.36,0.7929,automatica,sim
originais||None||D4||c1,HUVEC,originais||None||D4,1,0,17.387,0.0,automatica,sim
originais||None||D4||c1,HUVEC,originais||None||D4,1,8,6.95,0.6003,automatica,sim
originais||None||D4||c1,HUVEC,originais||None||D4,1,24,3.316,0.8093,automatica,sim
originais||None||D4||c2,HUVEC,originais||None||D4,2,0,16.432,0.0,mista,nao
originais||None||D4||c2,HUVEC,originais||None||D4,2,8,5.461,0.6677,mista,nao
originais||None||D4||c2,HUVEC,originais||None||D4,2,12,7.45,0.5466,mista,nao
originais||None||D4||c2,HUVEC,originais||None||D4,2,24,0.0,1.0,mista,nao
